LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2024-05-06 10:29:52,1900-01-00 00:00:00,,46:3A:1E:12:17:11,-88, ,0.000000,0.000000,0.000,0.000,AP
2024-05-06 10:29:52,1900-01-00 00:00:00,OPPO Reno8 T,46:3A:1E:12:17:11,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-06 10:29:53,1900-01-00 00:00:00,OPPO Reno8 T,46:3A:1E:12:17:11,-89, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-06 10:29:53,1900-01-00 00:00:00,OPPO Reno8 T,46:3A:1E:12:17:11,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-06 10:29:53,1900-01-00 00:00:00,OPPO Reno8 T,46:3A:1E:12:17:11,-89, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-06 10:29:55,1900-01-00 00:00:00,OPPO Reno8 T,46:3A:1E:12:17:11,-89, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-06 10:29:55,1900-01-00 00:00:00,OPPO Reno8 T,46:3A:1E:12:17:11,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-06 10:29:56,1900-01-00 00:00:00,OPPO Reno8 T,46:3A:1E:12:17:11,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-06 10:29:56,1900-01-00 00:00:00,OPPO Reno8 T,46:3A:1E:12:17:11,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-06 10:29:56,1900-01-00 00:00:00,OPPO Reno8 T,46:3A:1E:12:17:11,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-06 10:29:59,1900-01-00 00:00:00,OPPO Reno8 T,46:3A:1E:12:17:11,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-06 10:30:00,1900-01-00 00:00:00,OPPO Reno8 T,46:3A:1E:12:17:11,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-06 10:30:01,1900-01-00 00:00:00,OPPO Reno8 T,46:3A:1E:12:17:11,-86, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-06 10:30:01,1900-01-00 00:00:00,OPPO Reno8 T,46:3A:1E:12:17:11,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
